iso3,country,region,hdi_1990,hdi_1995,hdi_2000,hdi_2005,hdi_2010,hdi_2015,hdi_2020,hdi_2023,le_1990,le_1995,le_2000,le_2005,le_2010,le_2015,le_2020,le_2023,eys_1990,eys_1995,eys_2000,eys_2005,eys_2010,eys_2015,eys_2020,eys_2023
RWA,Rwanda,SSA,,0.294,0.34,0.433,0.504,0.525,0.555,0.578,47.763,41.518,47.798,56.968,62.804,65.419,66.953,67.785,,5.644849777,6.472990036,9.417039871,11.67043018,11.08055973,11.76366997,12.59045029
KNA,Saint Kitts and Nevis,LAC,,,,0.758,0.791,0.83,0.828,0.84,65.641,67.23,69.249,71.151,71.452,71.211,71.181,72.145,12.99134617,13.35528717,13.82878075,14.30227432,15.74492709,18.40703011,18.40703011,18.40703011
LCA,Saint Lucia,LAC,0.683,0.698,0.71,0.73,0.749,0.757,0.734,0.748,70.008,71.172,70.779,72.544,72.768,72.932,72.308,72.697,11.76698299,12.01363113,12.26150842,12.75965023,13.24927998,13.74295998,12.68871975,12.73040962
VCT,Saint Vincent and the Grenadines,LAC,,,0.7,0.724,0.746,0.765,0.781,0.798,70.647,70.575,70.35,70.454,70.66,70.463,69.605,71.23,10.55753964,11.2896181,12.07246017,12.90837774,14.01221809,15.09107018,16.2530213,16.2530213
WSM,Samoa,EAP,,0.655,0.676,0.694,0.708,0.708,0.708,0.708,67.808,69.469,70.791,71.487,71.451,71.06,70.727,71.698,11.6098,11.6578,11.60974026,11.81640519,12.02307013,12.22973506,12.4364,12.4364
SMR,San Marino,,,,0.881,0.893,0.905,0.896,0.895,0.915,77.783,79.031,80.504,81.926,83.464,84.596,82.65,85.706,,,15.63998032,15.50981152,15.4177103,14.96122756,14.65939835,14.59976717
STP,Sao Tome and Principe,SSA,,,,0.535,0.564,0.608,0.628,0.637,60.707,60.536,61.207,62.434,63.867,66.023,67.979,69.718,,,,9.380213026,10.17840004,12.4100399,12.6637182,12.8567099
SAU,Saudi Arabia,AS,0.67,0.705,0.737,0.782,0.801,0.851,0.875,0.9,68.874,70.944,72.607,74.4,75.616,77.776,77.596,78.732,9.059376352,10.24281504,11.58084793,13.09366989,13.01385283,14.76905489,15.75979996,16.94943047
SEN,Senegal,SSA,0.377,0.384,0.398,0.43,0.477,0.509,0.522,0.53,56.674,57.336,57.615,60.98,64.221,66.451,67.496,68.683,4.31622616,4.783363914,5.490004158,6.874909878,8.141200066,9.290579796,9.053489685,9.142709732
SRB,Serbia,ECA,,0.686,0.701,0.743,0.775,0.802,0.809,0.833,72.225,72.726,72.334,73.115,74.376,75.653,74.507,76.769,12.34569899,12.75198239,13.17163612,13.54957962,13.67858028,14.75028992,14.61096001,15.04216003
SYC,Seychelles,SSA,,,,,0.758,0.819,0.853,0.848,70.17,70.634,71.313,71.921,72.477,72.285,74.091,72.862,,,,,11.19475894,16.14831924,17.85103989,18.22489929
SLE,Sierra Leone,SSA,0.313,0.314,0.318,0.37,0.41,0.432,0.454,0.467,43.72,42.579,44.834,48.306,51.927,55.454,59.694,61.786,4.661960125,5.085221958,6.181112003,7.299098089,8.550519861,8.781952034,9.016348244,9.064124575
SGP,Singapore,EAP,0.819,0.854,0.882,0.911,0.932,0.935,0.944,0.946,74.598,75.725,77.752,80.271,81.647,82.748,83.661,83.736,16.40782026,16.60151137,16.79748897,16.99578004,17.63391359,16.80487769,16.78735924,16.74227905
SVK,Slovakia,,0.698,0.729,0.774,0.815,0.851,0.861,0.867,0.88,70.819,72.254,73.139,74.156,75.496,76.65,76.864,78.341,11.45825015,12.14776039,13.4864502,14.57946014,15.26029968,14.8499403,14.56892014,14.94684982
SVN,Slovenia,,0.734,0.768,0.829,0.876,0.896,0.909,0.918,0.931,73.465,74.419,75.83,77.503,79.301,80.499,80.364,81.603,12.0217104,12.66938972,14.97756004,16.74777985,17.08004951,17.27178001,17.26226997,17.47717094
SLB,Solomon Islands,EAP,,,0.547,0.553,0.564,0.576,0.579,0.584,66.194,66.717,67.116,67.79,68.669,69.323,69.258,70.528,10.81152111,10.90339648,10.9960526,11.0894961,11.18373368,11.27873983,11.32064781,11.31304207
SOM,Somalia,AS,,,,,,,,0.404,46.896,50.65,50.747,50.894,48.9,55.056,57.095,58.816,,,,,,,,7.486165162
ZAF,South Africa,SSA,0.633,0.654,0.618,0.616,0.669,0.722,0.724,0.741,62.942,61.603,58.368,53.914,58.886,64.053,65.15,66.139,11.99145985,12.95232761,11.93591523,11.85476017,12.8413496,14.60560989,13.98349953,13.79325008
SSD,South Sudan,SSA,,,,,0.42,0.317,0.398,0.388,28.628,31.51,47.591,53.965,57.485,39.757,57.648,57.617,,,,,4.983324,5.634770141,5.634770141,5.634770141
ESP,Spain,,0.766,0.804,0.833,0.857,0.875,0.895,0.901,0.918,77.0,78.2,79.412,80.32,82.006,82.611,82.241,83.67,14.35657978,15.75236034,15.8646698,15.98174,16.40280914,17.40423965,17.4695797,17.83031082
LKA,Sri Lanka,SA,0.638,0.667,0.702,0.721,0.748,0.769,0.78,0.776,69.239,69.746,71.179,73.073,74.463,75.99,76.928,77.483,11.49196747,11.92872584,12.37730384,12.82588184,13.27445984,13.36060333,13.35515356,13.12815666
SDN,Sudan,AS,,,,,0.479,0.498,0.513,0.511,55.497,57.447,58.946,57.226,62.979,64.375,65.124,66.331,3.575123192,4.339961577,5.268424466,6.340129852,7.41782999,7.932330132,8.501687381,8.620371878
SUR,Suriname,LAC,,,,0.685,0.707,0.718,0.714,0.722,62.088,62.779,64.409,66.997,69.626,70.567,72.321,73.631,10.76805019,10.94032947,11.11260875,11.14640141,11.08786964,11.02933788,10.97080612,10.95909977
